HTS Number,HTS_Digits,Indent,Description,Spec_Level_1,Spec_Level_2,Spec_Level_3,Spec_Level_4,Spec_Level_5,Spec_Level_6,Spec_Level_7,Spec_Level_8,Spec_Level_9,Spec_Level_10,Unit_of_Quantity,General_Rate_of_Duty,Special_Rate_of_Duty,Column_2_Rate_of_Duty,text
0101.21.00.10,0101210010,3,"Live horses, asses, mules and hinnies:",Horses:,Purebred breeding animals,Males,,,,,,,,"[""No.""]",Free,,Free,prefix4:0101 | prefix6:010121 | Horses: | Purebred breeding animals | Males
0101.21.00.20,0101210020,3,"Live horses, asses, mules and hinnies:",Horses:,Purebred breeding animals,Females,,,,,,,,"[""No.""]",Free,,Free,prefix4:0101 | prefix6:010121 | Horses: | Purebred breeding animals | Females
0101.29.00.10,0101290010,3,"Live horses, asses, mules and hinnies:",Horses:,Other,Imported for immediate slaughter,,,,,,,,"[""No.""]",Free,,20%,prefix4:0101 | prefix6:010129 | Horses: | Other | Imported for immediate slaughter
0101.29.00.90,0101290090,3,"Live horses, asses, mules and hinnies:",Horses:,Other,Other,,,,,,,,"[""No.""]",Free,,20%,prefix4:0101 | prefix6:010129 | Horses: | Other | Other
0101.30.00.00,0101300000,1,"Live horses, asses, mules and hinnies:",Asses,,,,,,,,,,"[""No.""]",6.8%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,prefix4:0101 | prefix6:010130 | Asses
0101.90.30.00,0101903000,2,"Live horses, asses, mules and hinnies:",Other:,Imported for immediate slaughter,,,,,,,,,"[""No.""]",Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",Free,prefix4:0101 | prefix6:010190 | Other: | Imported for immediate slaughter
0101.90.40.00,0101904000,2,"Live horses, asses, mules and hinnies:",Other:,Other,,,,,,,,,"[""No.""]",4.5%,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,prefix4:0101 | prefix6:010190 | Other: | Other
0102.21.00.10,0102210010,4,Live bovine animals:,Cattle:,Purebred breeding animals,Dairy:,Male,,,,,,,"[""No.""]",Free,,Free,prefix4:0102 | prefix6:010221 | Cattle: | Purebred breeding animals | Dairy: | Male
0102.21.00.20,0102210020,4,Live bovine animals:,Cattle:,Purebred breeding animals,Dairy:,Female,,,,,,,"[""No.""]",Free,,Free,prefix4:0102 | prefix6:010221 | Cattle: | Purebred breeding animals | Dairy: | Female
0102.21.00.30,0102210030,4,Live bovine animals:,Cattle:,Purebred breeding animals,Other:,Male,,,,,,,"[""No.""]",Free,,Free,prefix4:0102 | prefix6:010221 | Cattle: | Purebred breeding animals | Other: | Male
